Store,Year,Week,Sales,Customers,week_start,sales_lag_1,sales_lag_2,sales_lag_3,sales_lag_4,sales_roll_mean_4,sales_roll_mean_8,weekofyear,month
74,2014,28,29636,4264,2014-07-09,43794.0,29933.0,37605.0,27377.0,34677.25,34693.625,28,7
1082,2014,13,32121,5284,2014-03-26,42924.0,32140.0,44526.0,33753.0,38335.75,39720.5,13,3
416,2014,15,57674,8081,2014-04-09,74964.0,56480.0,65705.0,49536.0,61671.25,62495.25,15,4
496,2014,51,66056,5898,2014-12-17,42482.0,61273.0,58247.0,37685.0,49921.75,48093.125,51,12
863,2013,7,42073,5459,2013-02-12,48323.0,41111.0,46579.0,38282.0,43573.75,44969.0,7,2
187,2013,26,31989,4100,2013-06-25,39636.0,33331.0,37832.0,41815.0,38153.5,35262.375,26,6
185,2014,43,45097,3282,2014-10-22,34991.0,48291.0,41928.0,33361.0,39642.75,40597.875,43,10
822,2014,22,35649,3105,2014-05-28,45447.0,31424.0,53712.0,50802.0,45346.25,44515.375,22,5
906,2015,15,47605,5804,2015-04-09,72132.0,49881.0,68412.0,54385.0,61202.5,61059.25,15,4
147,2013,6,54041,5583,2013-02-05,40397.0,47563.0,35212.0,52377.0,43887.25,44819.42857142857,6,2
221,2014,9,28585,2921,2014-02-26,34367.0,28375.0,37181.0,28869.0,32198.0,33569.75,9,2
253,2014,29,32280,3538,2014-07-16,23174.0,40055.0,24881.0,34737.0,30711.75,31068.875,29,7
166,2014,49,46193,6052,2014-12-03,41888.0,28873.0,34041.0,37457.0,35564.75,32420.5,49,12
426,2014,26,23236,3267,2014-06-25,31695.0,21188.0,36223.0,23385.0,28122.75,29815.875,26,6
1077,2015,31,26968,2672,2015-07-30,20747.0,28906.0,22295.0,30168.0,25529.0,26183.875,31,7
983,2015,1,17581,2427,2015-01-01,46790.0,86779.0,52160.0,72646.0,64593.75,60110.5,1,1
1095,2013,52,18779,2688,2013-12-24,52137.0,33719.0,43964.0,31238.0,40264.5,33780.5,52,12
170,2015,6,31196,3276,2015-02-05,31886.0,22708.0,30174.0,32499.0,29316.75,27677.0,6,2
950,2014,38,34216,3380,2014-09-17,25877.0,35524.0,26953.0,30931.0,29821.25,31087.25,38,9
1086,2014,47,26130,3519,2014-11-19,42274.0,45559.0,30560.0,39061.0,39363.5,36185.125,47,11
346,2013,41,41283,3712,2013-10-08,32968.0,37794.0,32490.0,40373.0,35906.25,36633.375,41,10
1034,2014,34,40943,4224,2014-08-20,29454.0,39846.0,43011.0,29644.0,35488.75,36491.625,34,8
649,2013,46,17899,2078,2013-11-12,25969.0,15744.0,22836.0,17131.0,20420.0,20060.875,46,11
715,2015,26,28839,3228,2015-06-25,41961.0,31109.0,45476.0,29548.0,37023.5,37534.875,26,6
359,2014,39,31698,3135,2014-09-24,38649.0,36989.0,45839.0,34433.0,38977.5,39737.5,39,9
559,2013,8,38143,4625,2013-02-19,27184.0,41249.0,29054.0,34891.0,33094.5,32431.14285714286,8,2
102,2014,25,48705,6535,2014-06-18,29217.0,55152.0,40109.0,47275.0,42938.25,42123.5,25,6
995,2013,52,44347,3964,2013-12-24,95048.0,55421.0,70165.0,53436.0,68517.5,60129.875,52,12
314,2014,20,23609,2945,2014-05-14,36542.0,35274.0,21847.0,32033.0,31424.0,30920.75,20,5
105,2014,13,21931,2950,2014-03-26,30366.0,21602.0,28498.0,25692.0,26539.5,26455.75,13,3
235,2015,27,43474,3136,2015-07-02,23759.0,40114.0,26185.0,36096.0,31538.5,30832.75,27,7
433,2015,7,28671,3549,2015-02-12,35572.0,35715.0,27426.0,33063.0,32944.0,31815.125,7,2
216,2013,22,45020,5182,2013-05-28,27250.0,45944.0,32351.0,45781.0,37831.5,38031.125,22,5
492,2013,18,43555,6401,2013-04-30,43759.0,35841.0,48839.0,35826.0,41066.25,44281.25,18,4
699,2013,45,53768,6217,2013-11-05,45241.0,50820.0,38614.0,55092.0,47441.75,46101.75,45,11
882,2013,5,51262,6435,2013-01-29,57633.0,49156.0,58878.0,47060.0,53181.75,39671.71428571428,5,1
196,2013,7,25725,3978,2013-02-12,31659.0,27215.0,30507.0,23617.0,28249.5,32086.85714285714,7,2
438,2013,27,31905,3198,2013-07-02,24947.0,30039.0,19477.0,29674.0,26034.25,25680.25,27,7
797,2015,30,26014,2639,2015-07-23,34540.0,25821.0,37137.0,25714.0,30803.0,30112.125,30,7
378,2014,16,42489,6186,2014-04-16,32704.0,44960.0,32195.0,41416.0,37818.75,38526.0,16,4
533,2013,46,47569,4922,2013-11-12,61163.0,42374.0,54320.0,44847.0,50676.0,49584.25,46,11
175,2014,29,36772,4184,2014-07-16,33062.0,40572.0,30764.0,38148.0,35636.5,35126.75,29,7
355,2015,18,56168,6169,2015-04-30,44656.0,58640.0,41293.0,67972.0,53140.25,53303.0,18,4
1016,2014,37,22607,2382,2014-09-10,36859.0,26574.0,37081.0,23072.0,30896.5,31077.625,37,9
255,2014,49,46971,4436,2014-12-03,43867.0,31011.0,39246.0,46527.0,40162.75,36607.375,49,12
520,2014,28,22134,2531,2014-07-09,25079.0,20099.0,25534.0,18784.0,22374.0,22075.25,28,7
938,2014,7,48552,5385,2014-02-12,66091.0,47248.0,59759.0,45770.0,54717.0,57552.625,7,2
1072,2014,13,33171,3398,2014-03-26,44371.0,31725.0,43525.0,34632.0,38563.25,39136.375,13,3
244,2014,12,33491,3392,2014-03-19,20489.0,35483.0,23454.0,33624.0,28262.5,28570.75,12,3
130,2015,12,32452,3466,2015-03-19,28329.0,34547.0,28138.0,33200.0,31053.5,30825.125,12,3
258,2013,11,25909,2458,2013-03-12,33874.0,28792.0,34818.0,26764.0,31062.0,30372.0,11,3
235,2014,51,58764,4108,2014-12-17,32060.0,51298.0,48520.0,28015.0,39973.25,37966.375,51,12
672,2014,3,38979,6761,2014-01-15,56071.0,53294.0,42725.0,104660.0,64187.5,65195.5,3,1
262,2015,28,145550,23997,2015-07-09,155246.0,130586.0,145718.0,135988.0,141884.5,149733.375,28,7
442,2014,11,19454,2394,2014-03-12,29792.0,20144.0,28054.0,20235.0,24556.25,24953.75,11,3
225,2014,1,30005,3301,2014-01-01,26415.0,56788.0,29545.0,41369.0,38529.25,34068.125,1,1
527,2013,44,47849,4975,2013-10-29,58935.0,51073.0,66242.0,54541.0,57697.75,57725.5,44,10
1091,2014,24,36505,3461,2014-06-11,58361.0,36534.0,52150.0,37559.0,46151.0,47321.375,24,6
209,2014,11,28106,3351,2014-03-12,35113.0,29492.0,32964.0,28221.0,31447.5,31458.0,11,3
1044,2013,13,45964,6011,2013-03-26,44268.0,31198.0,44092.0,32168.0,37931.5,36597.375,13,3
650,2015,6,38577,3796,2015-02-05,39434.0,33473.0,40316.0,38581.0,37951.0,30094.625,6,2
215,2015,15,26414,2169,2015-04-09,44939.0,29581.0,42206.0,29388.0,36528.5,36175.875,15,4
605,2014,48,54179,3729,2014-11-26,34772.0,46999.0,52362.0,29813.0,40986.5,41207.75,48,11
717,2013,36,25294,3014,2013-09-03,37414.0,20985.0,35019.0,22988.0,29101.5,29474.875,36,9
1001,2013,51,53106,5126,2013-12-17,31829.0,41154.0,27917.0,38390.0,34822.5,32116.125,51,12
273,2013,9,31194,3516,2013-02-26,41056.0,29970.0,42771.0,30564.0,36090.25,35475.625,9,2
1105,2015,27,36427,3509,2015-07-02,24703.0,37437.0,24950.0,36065.0,30788.75,30589.25,27,7
448,2013,35,52795,4692,2013-08-27,38265.0,50703.0,40829.0,55494.0,46322.75,47998.25,35,8
269,2014,5,46759,6678,2014-01-29,62539.0,42033.0,67387.0,50072.0,55507.75,63123.5,5,1
636,2015,3,40889,4746,2015-01-15,37927.0,8724.0,16470.0,24709.0,21957.5,27002.375,3,1
269,2014,15,45357,6624,2014-04-09,70727.0,45607.0,59705.0,42515.0,54638.5,55152.5,15,4
245,2014,45,59201,6714,2014-11-05,51069.0,54624.0,48311.0,60032.0,53509.0,52973.875,45,11
329,2013,52,29007,2802,2013-12-24,61827.0,37034.0,55289.0,40834.0,48746.0,44895.25,52,12
178,2015,13,52029,5034,2015-03-26,70416.0,50637.0,71576.0,52299.0,61232.0,62590.25,13,3
899,2015,31,32410,3019,2015-07-30,23175.0,32327.0,26651.0,36491.0,29661.0,30172.75,31,7
937,2015,19,49826,3790,2015-05-07,48202.0,42039.0,60047.0,37683.0,46992.75,49247.625,19,5
703,2015,2,22206,2227,2015-01-08,5686.0,16098.0,29014.0,17746.0,17136.0,19325.375,2,1
257,2014,14,35830,4149,2014-04-02,25218.0,31723.0,26601.0,34821.0,29590.75,30186.125,14,4
350,2013,19,33601,2784,2013-05-07,41323.0,44077.0,31791.0,46081.0,40818.0,40440.125,19,5
816,2014,32,29181,4158,2014-08-06,31361.0,20993.0,28309.0,24486.0,26287.25,27183.625,32,8
905,2013,27,74612,10049,2013-07-02,51156.0,61847.0,50745.0,67869.0,57904.25,57035.125,27,7
396,2014,30,47117,5329,2014-07-23,65839.0,48967.0,71505.0,49849.0,59040.0,58204.25,30,7
172,2013,9,57156,6882,2013-02-26,61388.0,53570.0,63904.0,52727.0,57897.25,48040.25,9,2
789,2015,28,22531,2857,2015-07-09,21850.0,21398.0,22414.0,22820.0,22120.5,21387.25,28,7
49,2013,48,44424,3038,2013-11-26,43591.0,33590.0,46797.0,30790.0,38692.0,37997.25,48,11
897,2013,9,14776,1745,2013-02-26,17873.0,14798.0,20683.0,16241.0,17398.75,16605.25,9,2
435,2013,6,23021,2709,2013-02-05,16791.0,21775.0,16116.0,22564.0,19311.5,29924.85714285714,6,2
228,2013,18,46085,3456,2013-04-30,45625.0,35759.0,47793.0,33309.0,40621.5,43034.125,18,4
997,2014,24,19432,1666,2014-06-11,33684.0,21367.0,31124.0,21394.0,26892.25,29394.75,24,6
163,2014,6,43598,5005,2014-02-05,38364.0,41717.0,37235.0,45421.0,40684.25,40729.375,6,2
658,2014,8,39555,3775,2014-02-19,27862.0,41525.0,28048.0,39393.0,34207.0,33547.0,8,2
544,2015,7,62193,8744,2015-02-12,85964.0,86614.0,59015.0,90338.0,80482.75,75414.5,7,2
923,2015,19,34731,4143,2015-05-07,32221.0,29889.0,34839.0,26020.0,30742.25,31281.25,19,5
727,2014,23,31220,2938,2014-06-04,21152.0,28653.0,21693.0,30918.0,25604.0,25498.5,23,6
939,2014,25,38413,3533,2014-06-18,27759.0,41980.0,29064.0,39782.0,34646.25,34225.125,25,6
571,2014,6,49573,3631,2014-02-05,37595.0,48036.0,37972.0,48132.0,42933.75,42841.875,6,2
530,2014,50,15399,1942,2014-12-10,22122.0,20409.0,17895.0,21070.0,20374.0,25582.75,50,12
1005,2015,26,32188,4950,2015-06-25,41761.0,35126.0,38747.0,29626.0,36315.0,37302.5,26,6
1011,2014,41,58886,6792,2014-10-08,56444.0,40708.0,53965.0,42203.0,48330.0,49899.875,41,10
901,2014,19,46155,3997,2014-05-07,42193.0,27295.0,50514.0,37073.0,39268.75,40734.5,19,5
376,2014,13,70836,7534,2014-03-26,37518.0,55830.0,40439.0,53425.0,46803.0,46956.25,13,3
57,2013,35,80340,7418,2013-08-27,51408.0,76311.0,52599.0,82820.0,65784.5,67852.75,35,8
458,2015,12,49698,4532,2015-03-19,36157.0,49486.0,39164.0,48090.0,43224.25,42459.5,12,3
656,2014,38,21822,2448,2014-09-17,16330.0,22890.0,16823.0,21122.0,19291.25,19437.0,38,9
778,2015,25,37834,4800,2015-06-18,28152.0,34329.0,26890.0,39458.0,32207.25,31665.625,25,6
642,2013,44,15751,2266,2013-10-29,20863.0,19130.0,23732.0,18223.0,20487.0,20663.5,44,10
24,2014,11,42346,4188,2014-03-12,61955.0,45417.0,58010.0,47174.0,53139.0,53571.0,11,3
175,2015,3,35598,4025,2015-01-15,32647.0,10163.0,28222.0,45981.0,29253.25,33138.5,3,1
