Store,week_start,horizon_week,pred_sales
1,2015-08-06,1,9113.678
1,2015-08-13,2,4263.7134
1,2015-08-20,3,6631.578
1,2015-08-27,4,5619.6626
1,2015-09-03,5,6982.567
1,2015-09-10,6,6967.83
2,2015-08-06,1,10128.565
2,2015-08-13,2,5792.5205
2,2015-08-20,3,8165.2725
2,2015-08-27,4,7050.4297
2,2015-09-03,5,6646.6865
2,2015-09-10,6,6967.83
3,2015-08-06,1,8347.979
3,2015-08-13,2,8249.682
3,2015-08-20,3,10535.42
3,2015-08-27,4,10157.473
3,2015-09-03,5,7287.9067
3,2015-09-10,6,4687.022
4,2015-08-06,1,14528.531
4,2015-08-13,2,7081.14
4,2015-08-20,3,12459.867
4,2015-08-27,4,12727.309
4,2015-09-03,5,9857.304
4,2015-09-10,6,9481.011
5,2015-08-06,1,10644.819
5,2015-08-13,2,4937.197
5,2015-08-20,3,7440.092
5,2015-08-27,4,6238.741
5,2015-09-03,5,6924.831
5,2015-09-10,6,6967.83
6,2015-08-06,1,10088.671
6,2015-08-13,2,3793.3303
6,2015-08-20,3,7382.282
6,2015-08-27,4,5619.6626
6,2015-09-03,5,6924.831
6,2015-09-10,6,6967.83
7,2015-08-06,1,13917.995
7,2015-08-13,2,8266.125
7,2015-08-20,3,14592.122
7,2015-08-27,4,11078.739
7,2015-09-03,5,9052.361
7,2015-09-10,6,9794.348
8,2015-08-06,1,7122.914
8,2015-08-13,2,7719.6025
8,2015-08-20,3,11622.147
8,2015-08-27,4,9618.985
8,2015-09-03,5,7171.622
8,2015-09-10,6,5169.32
9,2015-08-06,1,9550.315
9,2015-08-13,2,7907.7324
9,2015-08-20,3,12323.667
9,2015-08-27,4,10978.172
9,2015-09-03,5,7525.9985
9,2015-09-10,6,6010.281
10,2015-08-06,1,12007.755
10,2015-08-13,2,6155.8833
10,2015-08-20,3,12540.959
10,2015-08-27,4,7931.712
10,2015-09-03,5,6091.557
10,2015-09-10,6,5057.2944
11,2015-08-06,1,10063.352
11,2015-08-13,2,7099.9087
11,2015-08-20,3,10840.755
11,2015-08-27,4,10327.193
11,2015-09-03,5,8297.057
11,2015-09-10,6,6072.866
12,2015-08-06,1,7584.2285
12,2015-08-13,2,9109.672
12,2015-08-20,3,11332.402
12,2015-08-27,4,11542.643
12,2015-09-03,5,8374.951
12,2015-09-10,6,7030.953
13,2015-08-06,1,12070.232
13,2015-08-13,2,8998.988
13,2015-08-20,3,9186.086
13,2015-08-27,4,7993.023
13,2015-09-03,5,4987.128
13,2015-09-10,6,6689.6855
14,2015-08-06,1,9059.65
14,2015-08-13,2,6890.6865
14,2015-08-20,3,8960.187
14,2015-08-27,4,7311.0386
14,2015-09-03,5,4932.8394
14,2015-09-10,6,6967.83
15,2015-08-06,1,8677.102
15,2015-08-13,2,6871.3164
15,2015-08-20,3,10520.381
15,2015-08-27,4,11503.193
15,2015-09-03,5,7287.9067
15,2015-09-10,6,6010.281
